,youtube_video_channel
CNN,27
Ruptly,24
AP Archive,18
Destiny,12
The F/S Effect,12
Dystopia Now,12
Newsy,11
Global News,10
The Young Turks,10
Soap - Sim Racer,9
Journeyman Pictures,8
VICE News,8
NowThis News,8
Roland S. Martin,7
Democracy Now!,7
The Progressive Voice,6
The Majority Report w/ Sam Seder,6
Jreg,6
Vox,6
Associated Press,6
TEDx Talks,6
David Pakman Show,5
PBS NewsHour,5
DW News,5
Eli Harman,5
ABC News (Australia),5
WTNH News8,5
OnePeoplesProjecttv,5
Business Insider,5
C-SPAN,5
Pronunciation Guide,5
euronews (in English),4
"Hi, I Think I'm Real",4
TeleSUR English,4
NBC News,4
AJ+,4
Novara Media,4
MSNBC,4
The Guardian,4
Sky News,4
FUSION,4
andy nowicki,4
Al Jazeera English,4
Channel 4 News,4
WESH 2 News,4
Bite-sized Philosophy,4
Thom Hartmann Program,4
Bloomberg Quicktake: Now,4
Washington Post,4
LOCAL 12,3
KPIX CBS SF Bay Area,3
The Daily Show with Trevor Noah,3
WUSA9,3
CrashCourse,3
Metal Monkey,3
T.E.N.,3
Guardian News,3
NewsChannel 5,3
YaleCourses,3
Secular Talk,3
David Chas,3
Why Invest In,3
MR. OBVIOUS,3
WWLTV,3
Comedy Central UK,3
The Damage Report,3
NowThis World,3
The Hill,3
English E.Teach,3
TIK,3
ЗВЕЗДНАЯ ЖИЗНЬ,3
CBS Sacramento,3
UC,3
theunitedwest,3
JRE Clips,3
The Thinkery,3
Audiopedia,3
Kyle Rogers,3
No B.S.,3
Glenn Beck,2
Real McGoy,2
Dr. Jordan B Cooper,2
Haaretz.com,2
Omroep West,2
wtiiwarcraft,2
TV9 Gujarati,2
Robert Williams,2
CBS Miami,2
Centre for Indic Studies,2
WRTV Indianapolis,2
KRTV NEWS,2
ABC7 News Bay Area,2
Atlanta Journal-Constitution,2
David Rovics,2
Yad Vashem,2
WhyBeAre,2
Intelligence Squared,2
Parliamo di Videogiochi,2
Michael Rother - Topic,2
SOCO Films,2
Sky News Australia,2
WOOD TV8,2
Ubora Films,2
What Does That Mean?,2
RAP THE NEWs,2
Hefty - Topic,2
Dragon's Layer Productions,2
Understanding the Threat,2
Xanderhal,2
Innuendo Studios,2
American Enterprise Institute,2
Sonnenrad666,2
spellbinder00,2
HuffPost,2
SmokeRingsPipeDreams,2
Tariq Radio,2
XtremeCoasters Network,2
dokumentARfilm - Schulfilme - Lehrfilme,2
Death Cab for Cutie,2
TYT's The Conversation,2
The Sun,2
The Golden One,2
CNBC,2
NBC2 News,2
WJZ,2
The Fallen State,2
Pasqyra Shqiptare,2
Dose of Truth,2
BartekGM,2
SOC 119,2
Knoxville News Sentinel,2
The Office,2
Patriotic Populist,2
11Alive,2
Hunter & Cron - Brettspiele,2
The New York Times,2
The Radical Revolution,2
Ahava Jerusalem,2
SBS Dateline,2
The Realistic Dice,2
defederalization,2
Shemaroo Bengali,2
GlobalGrindTV,2
WMAR-2 News,2
Heritage Wealth Planning,2
The Audiopedia,2
WSLS 10,2
MexicanAmericanMale,2
CBS New York,2
TODAY,2
MLive,2
This Morning,2
Commander Rockwell XII,2
PAHomepage.com,2
Rajiv Malhotra Official,2
AmericanRenaissanceX,2
University of California Television (UCTV),2
RT,2
Emma Saying,2
SET India,2
Zero Books,2
TPM TV,2
The Festival of Bharat,2
KTNV Channel 13 Las Vegas,2
CGTN,2
Big Think,2
Pixel_Hipster,2
Newshub,2
Step Back History,2
theScore esports,2
KGW News,2
Saturday Night Live,2
Dia Beltran,1
Basics of Sikhi,1
Lauren Martins,1
Meghan Murphy,1
Mozilla,1
